gridid,join_count_d,join_count_o,time_sum,lat,lng
329,350,309,9022.566667,30.7602882,104.0387192
330,1320,1330,33005.18333,30.7602882,104.0557098
331,719,728,17901.55,30.7602882,104.0727081
332,445,469,12229.63333,30.7602882,104.0896988
333,95,95,2829.083333,30.7602882,104.1066895
334,181,202,4890.45,30.7602882,104.1236801
335,84,87,2223.766667,30.7602882,104.1406708
336,101,89,2496.533333,30.7602882,104.1576691
337,4,15,124.1833333,30.7602882,104.1746597
338,1,4,27.45,30.7602882,104.1916504
339,2,3,58.05,30.7602882,104.2086411
340,0,0,0,30.7602882,104.2256317
341,4,4,264.2666667,30.7742996,103.9027863
342,7,17,333.8833333,30.7742996,103.9197769
343,133,119,5636.233333,30.7742996,103.9367676
344,40,66,1803.383333,30.7742996,103.9537582
345,29,31,1136.633333,30.7742996,103.9707489
346,13,9,627.85,30.7742996,103.9877472
347,20,24,1011.466667,30.7742996,104.0047379
348,182,129,5947.466667,30.7742996,104.0217285
349,21,12,528.2666667,30.7742996,104.0387192
350,513,438,13804.2,30.7742996,104.0557098
351,303,274,8304.433333,30.7742996,104.0727081
352,18,12,579.9666667,30.7742996,104.0896988
353,41,27,1216.266667,30.7742996,104.1066895
354,116,89,3800.183333,30.7742996,104.1236801
355,140,113,4518.1,30.7742996,104.1406708
356,18,14,843.0166667,30.7742996,104.1576691
357,24,43,789.4,30.7742996,104.1746597
358,0,1,0,30.7742996,104.1916504
359,0,0,0,30.7742996,104.2086411
360,2,0,66.96666667,30.7742996,104.2256317
361,20,12,990.45,30.788311,103.9027863
362,18,18,899.35,30.788311,103.9197769
363,14,25,660.9666667,30.788311,103.9367676
364,61,57,2926.4,30.788311,103.9537582
365,20,23,921.3,30.788311,103.9707489
366,5,1,202.6666667,30.788311,103.9877472
367,12,6,563.7166667,30.788311,104.0047379
368,15,12,542.3166667,30.788311,104.0217285
369,45,18,1277.216667,30.788311,104.0387192
370,46,39,1625.85,30.788311,104.0557098
371,35,114,1317.666667,30.788311,104.0727081
372,62,58,2160.1,30.788311,104.0896988
373,0,1,0,30.788311,104.1066895
374,47,39,1585.666667,30.788311,104.1236801
375,97,86,3459.216667,30.788311,104.1406708
376,62,66,2264.333333,30.788311,104.1576691
377,13,7,539.4333333,30.788311,104.1746597
378,0,1,0,30.788311,104.1916504
379,0,0,0,30.788311,104.2086411
380,13,15,623.2333333,30.788311,104.2256317
381,33,49,1722.433333,30.8023205,103.9027863
382,9,3,567.9666667,30.8023205,103.9197769
383,6,3,328.6,30.8023205,103.9367676
384,5,5,345.6333333,30.8023205,103.9537582
385,8,8,412.1166667,30.8023205,103.9707489
386,0,4,0,30.8023205,103.9877472
387,3,5,107.6333333,30.8023205,104.0047379
388,14,14,395.8833333,30.8023205,104.0217285
389,199,125,6365.85,30.8023205,104.0387192
390,42,35,1519.566667,30.8023205,104.0557098
391,58,66,2070.983333,30.8023205,104.0727081
392,14,10,655.7666667,30.8023205,104.0896988
393,1,1,33.46666667,30.8023205,104.1066895
394,50,40,2111.933333,30.8023205,104.1236801
395,72,89,2814.85,30.8023205,104.1406708
396,51,72,2174.15,30.8023205,104.1576691
397,115,150,5294.633333,30.8023205,104.1746597
398,32,28,1615.983333,30.8023205,104.1916504
399,0,3,0,30.8023205,104.2086411
400,5,9,256.1833333,30.8023205,104.2256317
